City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
516,San Borja,BO,-14.8167,-66.85,72.73,83,0,3.04,clear sky
517,Horn,AT,48.6627,15.6566,55.08,88,69,6.29,broken clouds
518,Antalaha,MG,-14.9003,50.2788,69.98,89,51,5.46,light rain
519,Tāfuna,AS,-14.3358,-170.72,84.15,84,75,11.5,broken clouds
520,Mukalla,YE,14.5425,49.1242,84.58,76,1,3.24,clear sky
521,Ṭikāpur,NP,28.5,81.1333,76.05,39,0,3.89,clear sky
522,Jiayuguan City,CN,39.8167,98.3,61.61,21,94,8.7,overcast clouds
523,São Miguel do Araguaia,BR,-13.275,-50.1628,78.69,54,29,2.46,scattered clouds
524,San Luis,MX,28.4333,-113.75,73.54,40,0,11.3,clear sky
525,Fëdorovskiy,RU,45.0972,40.9517,58.71,92,2,3.44,clear sky
526,Salou,ES,41.0766,1.1416,69.24,85,0,3.44,clear sky
527,Colonia,FM,9.5164,138.1217,83.19,74,99,5.77,overcast clouds
528,Ventspils,LV,57.3894,21.5606,46.33,66,0,10.36,clear sky
529,Santa Ana,PH,15.0955,120.767,81.77,82,100,2.51,overcast clouds
530,River Cess,LR,5.46,-9.5828,78.73,85,100,5.57,light rain
531,Dusa Marreb,SO,5.535,46.3861,79.36,69,42,15.52,scattered clouds
532,Vila do Maio,CV,15.1333,-23.2167,74.19,85,9,10.87,clear sky
533,Murghab,TJ,38.1702,73.9667,34.83,48,67,3.8,broken clouds
534,Cannonvale,AU,-20.2833,148.7,72.79,80,97,11.86,overcast clouds
535,Mooloolabah,AU,-26.6833,153.1167,68.05,88,31,3.0,scattered clouds
536,Shani,NG,10.2162,12.062,86.0,50,100,2.86,overcast clouds
537,Obo,CF,5.3998,26.4869,67.84,90,100,1.74,overcast clouds
538,Corner Brook,CA,48.9667,-57.9484,37.56,96,100,8.12,overcast clouds
539,Mar del Plata,AR,-38.0023,-57.5575,65.08,97,100,1.01,moderate rain
540,Luwuk,ID,-0.9516,122.7875,79.81,87,73,5.03,broken clouds
541,Palmyra,SY,34.5608,38.2805,80.96,32,28,4.14,scattered clouds
542,The Pas,CA,53.8251,-101.2541,78.48,51,87,7.85,overcast clouds
543,Montepuez,MZ,-13.1256,38.9997,67.87,87,96,3.18,overcast clouds
544,Tamanghasset,DZ,22.785,5.5228,75.11,10,0,4.61,clear sky
545,Zakynthos,GR,37.7914,20.8953,68.65,80,12,1.88,few clouds
546,Dogondoutchi,NE,13.6393,4.0287,81.81,59,100,26.6,overcast clouds
547,Turinsk,RU,58.0458,63.696,64.06,79,100,3.27,overcast clouds
548,Coquimbo,CL,-29.9533,-71.3436,58.73,94,75,3.44,broken clouds
549,Swakopmund,NA,-22.6833,14.5333,58.98,81,7,3.0,clear sky
550,Ürümqi,CN,43.801,87.6005,59.95,34,0,6.71,clear sky
551,Palmer,US,42.1584,-72.3287,73.81,81,100,0.0,thunderstorm with light rain
552,Soyo,AO,-6.1349,12.3689,73.42,87,27,7.47,scattered clouds
